Fecha;Producto;Cantidad;Precio Unitario;Vendedor;Residencia;Ruta;Edad;Años_Experiencia;Horas_en_venta
1/1/2018;Producto 0007;155;4311;Vendedor 001;Alajuela;Cartago;49;19;3,233333333
1/1/2018;Producto 0011;51;2935;Vendedor 004;San José;Heredia;61;28;1,3
1/1/2018;Producto 0012;240;4594;Vendedor 001;Limón;Limón;56;28;3,683333333
1/1/2018;Producto 0019;140;3504;Vendedor 001;Guanacaste;Cartago;72;33;4
1/1/2018;Producto 0014;12;3653;Vendedor 002;Limón;Puntarenas;63;23;0,4
1/1/2018;Producto 0004;152;1309;Vendedor 005;Cartago;San José;53;24;4,983333333
1/1/2018;Producto 0020;8;1201;Vendedor 002;Alajuela;San José;38;14;4,133333333
1/1/2018;Producto 0001;206;3702;Vendedor 005;Guanacaste;Limón;43;17;4,15
1/1/2018;Producto 0009;239;2885;Vendedor 002;San José;Alajuela;35;16;4,216666667
1/1/2018;Producto 0010;199;1088;Vendedor 004;Limón;Guanacaste;58;21;3,766666667
1/1/2018;Producto 0016;67;1631;Vendedor 004;Puntarenas;Limón;71;31;5,233333333
1/1/2018;Producto 0013;112;3066;Vendedor 005;Limón;Guanacaste;52;31;0,433333333
1/1/2018;Producto 0002;213;2468;Vendedor 001;Puntarenas;Limón;68;32;6,5
1/1/2018;Producto 0005;84;1043;Vendedor 001;Heredia;Alajuela;55;23;4,183333333
1/1/2018;Producto 0003;8;1688;Vendedor 003;Puntarenas;Guanacaste;41;3;4,85
1/1/2018;Producto 0017;62;1335;Vendedor 001;Heredia;Guanacaste;31;13;2,766666667
1/1/2018;Producto 0005;72;1043;Vendedor 001;Guanacaste;Heredia;50;17;4,633333333
1/1/2018;Producto 0017;31;;Vendedor 002;Limón;Cartago;55;36;3,2
1/1/2018;Producto 0015;79;;Vendedor 003;Puntarenas;Guanacaste;49;18;2,9
1/1/2018;Producto 0018;15;;Vendedor 005;Heredia;Guanacaste;58;28;1,7
1/1/2018;Producto 0014;119;;Vendedor 005;Limón;Cartago;52;11;5,35
1/1/2018;Producto 0006;227;;Vendedor 003;Limón;Cartago;37;6;5,066666667
1/1/2018;Producto 0001;144;;Vendedor 001;Puntarenas;Heredia;56;16;6,15
1/1/2018;Producto 0012;10;;Vendedor 004;Alajuela;San José;64;29;2,483333333
1/1/2018;Producto 0011;24;;Vendedor 003;Cartago;Guanacaste;32;2;5,083333333
1/1/2018;Producto 0014;132;;Vendedor 001;Alajuela;Limón;33;4;2,15
1/1/2018;Producto 0005;108;;Vendedor 005;Limón;Puntarenas;30;6;1,133333333
1/1/2018;Producto 0011;134;;Vendedor 001;Heredia;Puntarenas;38;7;5,516666667
1/1/2018;Producto 0018;115;;Vendedor 001;Guanacaste;Puntarenas;41;13;2,633333333
1/1/2018;Producto 0017;124;;Vendedor 005;Heredia;Guanacaste;24;1;4,916666667
1/1/2018;Producto 0016;185;;Vendedor 004;Puntarenas;Puntarenas;72;33;1,966666667
1/1/2018;Producto 0014;13;;Vendedor 003;Alajuela;Limón;46;9;2,2
1/1/2018;Producto 0016;107;;Vendedor 002;San José;Guanacaste;37;11;4,466666667
2/1/2018;Producto 0018;239;;Vendedor 002;Heredia;San José;46;23;1,483333333
2/1/2018;Producto 0014;33;;Vendedor 001;Alajuela;Cartago;36;2;6,416666667
2/1/2018;Producto 0011;124;;Vendedor 001;San José;Limón;50;12;3,433333333
2/1/2018;Producto 0005;107;;Vendedor 002;Heredia;Alajuela;73;34;1,616666667
2/1/2018;Producto 0008;211;;Vendedor 004;Guanacaste;Puntarenas;53;14;6,75
2/1/2018;Producto 0016;156;;Vendedor 005;Alajuela;Heredia;49;9;1,266666667
2/1/2018;Producto 0017;104;;Vendedor 002;Alajuela;Guanacaste;47;18;4,083333333
2/1/2018;Producto 0013;241;;Vendedor 005;Alajuela;Alajuela;69;29;1,483333333
2/1/2018;Producto 0010;192;1088;Vendedor 005;Limón;Puntarenas;56;27;4,766666667
2/1/2018;Producto 0009;217;2885;Vendedor 005;Limón;Alajuela;57;34;2,433333333
2/1/2018;Producto 0001;82;3702;Vendedor 001;Guanacaste;Alajuela;61;33;6,75
2/1/2018;Producto 0020;96;1201;Vendedor 003;Heredia;Heredia;38;12;1,683333333
2/1/2018;Producto 0011;99;2935;Vendedor 003;San José;San José;50;15;6,75
2/1/2018;Producto 0020;1;1201;Vendedor 002;Cartago;San José;35;4;6,483333333
2/1/2018;Producto 0008;185;1031;Vendedor 002;Puntarenas;Alajuela;62;36;2,116666667
2/1/2018;Producto 0016;247;1631;Vendedor 002;Puntarenas;Guanacaste;30;5;3,15
2/1/2018;Producto 0006;211;1514;Vendedor 004;Alajuela;Guanacaste;60;32;5,483333333
2/1/2018;Producto 0013;214;3066;Vendedor 003;Limón;Puntarenas;33;14;6,316666667
2/1/2018;Producto 0015;140;2783;Vendedor 002;Cartago;San José;50;12;4,066666667
2/1/2018;Producto 0018;12;3109;Vendedor 001;Puntarenas;Cartago;74;35;1,933333333
2/1/2018;Producto 0018;79;3109;Vendedor 002;Alajuela;Guanacaste;43;8;6,916666667
2/1/2018;Producto 0011;106;2935;Vendedor 002;San José;Guanacaste;33;1;3,75
2/1/2018;Producto 0008;211;1031;Vendedor 003;Guanacaste;San José;75;36;2,133333333
2/1/2018;Producto 0009;95;2885;Vendedor 002;Cartago;Heredia;36;8;2,216666667
2/1/2018;Producto 0010;120;1088;Vendedor 003;Guanacaste;Cartago;63;25;6,433333333
2/1/2018;Producto 0018;136;3109;Vendedor 002;Heredia;Limón;34;16;0,25
2/1/2018;Producto 0004;186;1309;Vendedor 004;Limón;Guanacaste;52;15;5,066666667
2/1/2018;Producto 0006;58;1514;Vendedor 005;Heredia;Alajuela;54;36;1,633333333
2/1/2018;Producto 0002;203;2468;Vendedor 004;Cartago;San José;46;9;2,616666667
2/1/2018;Producto 0009;216;2885;Vendedor 004;Puntarenas;Alajuela;46;21;6,7
2/1/2018;Producto 0014;9;3653;Vendedor 004;Alajuela;Alajuela;52;19;1
2/1/2018;Producto 0005;188;1043;Vendedor 001;San José;San José;62;35;0,766666667
2/1/2018;Producto 0014;201;3653;Vendedor 002;Guanacaste;Puntarenas;42;10;1,666666667
2/1/2018;Producto 0007;35;4311;Vendedor 003;Puntarenas;Cartago;47;29;5,05
2/1/2018;Producto 0013;110;3066;Vendedor 003;Puntarenas;Limón;33;9;3,283333333
2/1/2018;Producto 0013;131;3066;Vendedor 001;Guanacaste;San José;35;2;3,716666667
2/1/2018;Producto 0009;162;2885;Vendedor 003;Limón;Puntarenas;54;34;1,75
2/1/2018;Producto 0013;129;3066;Vendedor 001;San José;Limón;68;28;6,583333333
2/1/2018;Producto 0017;247;1335;Vendedor 003;Limón;Alajuela;58;17;6,4
2/1/2018;Producto 0015;155;2783;Vendedor 001;Cartago;Puntarenas;49;12;4
2/1/2018;Producto 0007;193;4311;Vendedor 002;Limón;Heredia;28;1;3,65
2/1/2018;Producto 0007;134;4311;Vendedor 001;Limón;Limón;42;12;4,783333333
2/1/2018;Producto 0008;122;1031;Vendedor 001;Alajuela;Guanacaste;44;20;1,916666667
2/1/2018;Producto 0006;122;1514;Vendedor 003;Alajuela;Cartago;77;37;1,55
2/1/2018;Producto 0006;183;1514;Vendedor 001;Limón;San José;64;34;5,083333333
2/1/2018;Producto 0001;116;3702;Vendedor 005;San José;Guanacaste;45;18;2,266666667
2/1/2018;Producto 0001;152;3702;Vendedor 003;Limón;San José;44;17;2,85
2/1/2018;Producto 0001;120;3702;Vendedor 001;Cartago;Heredia;52;11;5,566666667
2/1/2018;Producto 0020;78;1201;Vendedor 004;Puntarenas;San José;27;5;5,35
2/1/2018;Producto 0004;63;1309;Vendedor 003;Alajuela;Heredia;54;14;4,75
2/1/2018;Producto 0002;69;2468;Vendedor 005;Guanacaste;Cartago;41;13;1,75
2/1/2018;Producto 0014;168;3653;Vendedor 001;San José;Alajuela;40;4;1,016666667
2/1/2018;Producto 0018;57;3109;Vendedor 003;Guanacaste;Limón;47;27;4,366666667
2/1/2018;Producto 0003;79;1688;Vendedor 002;Heredia;Heredia;70;32;4,733333333
2/1/2018;Producto 0007;223;4311;Vendedor 005;Alajuela;San José;57;29;1,066666667
2/1/2018;Producto 0010;233;1088;Vendedor 003;Alajuela;Puntarenas;53;13;0,483333333
2/1/2018;Producto 0013;155;3066;Vendedor 002;San José;Guanacaste;37;15;1,4
2/1/2018;Producto 0020;194;1201;Vendedor 001;Limón;San José;71;31;0,566666667
2/1/2018;Producto 0013;110;3066;Vendedor 003;Puntarenas;Puntarenas;35;11;3,633333333
2/1/2018;Producto 0003;100;1688;Vendedor 003;Limón;Limón;30;4;6
2/1/2018;Producto 0018;166;3109;Vendedor 005;Guanacaste;Heredia;63;26;0,566666667
2/1/2018;Producto 0001;102;3702;Vendedor 002;Guanacaste;Cartago;50;24;2,633333333
2/1/2018;Producto 0012;137;4594;Vendedor 005;Heredia;Cartago;63;24;1,933333333
2/1/2018;Producto 0011;7;;Vendedor 002;Alajuela;Alajuela;46;20;1,483333333
2/1/2018;Producto 0007;239;;Vendedor 003;Alajuela;Heredia;43;7;5,483333333
2/1/2018;Producto 0004;50;;Vendedor 005;Cartago;Guanacaste;37;9;4,216666667
2/1/2018;Producto 0001;239;;Vendedor 004;Puntarenas;Limón;44;16;2,566666667
2/1/2018;Producto 0010;16;;Vendedor 004;San José;Puntarenas;60;21;5,75
2/1/2018;Producto 0010;164;;Vendedor 005;Puntarenas;Limón;54;20;6,116666667
2/1/2018;Producto 0009;18;;Vendedor 001;Limón;Heredia;44;11;0,633333333
2/1/2018;Producto 0002;66;;Vendedor 002;Puntarenas;Cartago;53;23;5,033333333
2/1/2018;Producto 0015;145;;Vendedor 003;San José;Heredia;62;27;2,966666667
2/1/2018;Producto 0013;87;;Vendedor 001;Cartago;Cartago;60;22;5,283333333
3/1/2018;Producto 0011;19;;Vendedor 001;Puntarenas;Heredia;41;18;3,433333333
3/1/2018;Producto 0017;160;;Vendedor 002;Puntarenas;Heredia;73;32;6,35
3/1/2018;Producto 0011;184;;Vendedor 001;Limón;Puntarenas;55;35;4,233333333
3/1/2018;Producto 0015;226;;Vendedor 001;Puntarenas;Cartago;47;12;2,666666667
3/1/2018;Producto 0006;11;;Vendedor 005;Puntarenas;San José;38;1;4,2
3/1/2018;Producto 0003;198;;Vendedor 001;Puntarenas;Limón;45;7;1,866666667
3/1/2018;Producto 0001;29;;Vendedor 004;Alajuela;Cartago;70;36;0,2
3/1/2018;Producto 0012;224;;Vendedor 002;Heredia;Puntarenas;49;29;6,05
3/1/2018;Producto 0013;161;;Vendedor 004;Alajuela;Heredia;42;21;3,716666667
3/1/2018;Producto 0002;63;;Vendedor 003;San José;San José;53;15;3,2
3/1/2018;Producto 0020;242;;Vendedor 004;Alajuela;Limón;37;17;0,2
3/1/2018;Producto 0011;65;;Vendedor 002;Cartago;Cartago;61;31;0,716666667
3/1/2018;Producto 0010;163;;Vendedor 002;Cartago;Alajuela;62;30;3,366666667
3/1/2018;Producto 0016;111;;Vendedor 001;Limón;Cartago;48;24;6,45
3/1/2018;Producto 0007;104;4311;Vendedor 002;Alajuela;San José;56;35;2,216666667
3/1/2018;Producto 0009;204;2885;Vendedor 001;Alajuela;Cartago;30;11;1,05
3/1/2018;Producto 0008;20;1031;Vendedor 004;Alajuela;San José;25;3;6,416666667
3/1/2018;Producto 0020;232;1201;Vendedor 005;Guanacaste;San José;67;29;0,866666667
3/1/2018;Producto 0008;90;1031;Vendedor 001;Puntarenas;Alajuela;35;13;5,616666667
3/1/2018;Producto 0017;231;1335;Vendedor 001;Heredia;Alajuela;58;27;4,65
3/1/2018;Producto 0012;40;4594;Vendedor 003;Alajuela;Puntarenas;36;16;0,216666667
3/1/2018;Producto 0015;242;2783;Vendedor 003;Cartago;San José;34;13;3,833333333
3/1/2018;Producto 0001;172;3702;Vendedor 005;Alajuela;Cartago;29;4;5,25
3/1/2018;Producto 0019;231;3504;Vendedor 003;Guanacaste;Cartago;79;38;6,3
3/1/2018;Producto 0004;237;1309;Vendedor 005;Puntarenas;Puntarenas;58;19;1,333333333
3/1/2018;Producto 0008;241;1031;Vendedor 002;Guanacaste;Limón;74;33;2,4
3/1/2018;Producto 0001;244;3702;Vendedor 005;Puntarenas;Limón;52;16;2,233333333
3/1/2018;Producto 0006;221;1514;Vendedor 002;Puntarenas;Limón;23;4;4,283333333
3/1/2018;Producto 0014;38;3653;Vendedor 002;Limón;Cartago;42;11;6,066666667
3/1/2018;Producto 0006;191;1514;Vendedor 005;Guanacaste;Puntarenas;41;3;2,316666667
3/1/2018;Producto 0015;67;2783;Vendedor 005;Guanacaste;Limón;36;12;4,45
3/1/2018;Producto 0009;142;2885;Vendedor 002;Limón;Guanacaste;62;29;6,233333333
3/1/2018;Producto 0002;2;2468;Vendedor 001;Cartago;Guanacaste;56;38;5,916666667
3/1/2018;Producto 0005;141;1043;Vendedor 003;San José;Cartago;26;7;1,166666667
3/1/2018;Producto 0012;182;4594;Vendedor 001;Guanacaste;Puntarenas;51;19;1,7
3/1/2018;Producto 0016;144;1631;Vendedor 005;Alajuela;Puntarenas;48;14;4,916666667
3/1/2018;Producto 0002;117;2468;Vendedor 003;Guanacaste;Guanacaste;31;7;4,433333333
3/1/2018;Producto 0020;195;1201;Vendedor 002;Alajuela;Heredia;58;36;2,483333333
3/1/2018;Producto 0013;80;3066;Vendedor 005;Limón;San José;53;15;2,2
3/1/2018;Producto 0012;211;4594;Vendedor 001;Heredia;Alajuela;27;6;5,5
3/1/2018;Producto 0020;141;1201;Vendedor 005;Limón;Puntarenas;32;8;0,633333333
3/1/2018;Producto 0013;238;3066;Vendedor 004;Limón;Alajuela;74;33;1,966666667
3/1/2018;Producto 0010;71;1088;Vendedor 004;Cartago;Cartago;39;12;3,816666667
3/1/2018;Producto 0011;249;2935;Vendedor 001;San José;Limón;66;29;2,016666667
3/1/2018;Producto 0006;49;1514;Vendedor 001;Cartago;Cartago;46;9;3,916666667
3/1/2018;Producto 0015;157;2783;Vendedor 005;Guanacaste;Cartago;47;18;0,416666667
3/1/2018;Producto 0005;19;1043;Vendedor 001;Guanacaste;Cartago;59;30;1,95
3/1/2018;Producto 0004;135;1309;Vendedor 003;Puntarenas;Cartago;65;28;1,116666667
3/1/2018;Producto 0013;84;3066;Vendedor 002;Cartago;San José;64;31;1,466666667
3/1/2018;Producto 0012;215;4594;Vendedor 004;Heredia;San José;41;2;3,916666667
3/1/2018;Producto 0013;177;3066;Vendedor 004;Puntarenas;Guanacaste;40;6;1,016666667
3/1/2018;Producto 0003;126;1688;Vendedor 004;Limón;Guanacaste;50;18;0,733333333
3/1/2018;Producto 0005;146;1043;Vendedor 005;Puntarenas;Limón;60;27;2,483333333
3/1/2018;Producto 0001;5;3702;Vendedor 002;Heredia;Alajuela;28;2;1,366666667
3/1/2018;Producto 0015;84;2783;Vendedor 004;Puntarenas;Limón;73;38;3,95
3/1/2018;Producto 0002;209;2468;Vendedor 005;Limón;Guanacaste;48;22;3,733333333
3/1/2018;Producto 0018;148;3109;Vendedor 005;Guanacaste;San José;39;14;1,766666667
3/1/2018;Producto 0013;53;3066;Vendedor 004;Puntarenas;Heredia;46;19;5,383333333
3/1/2018;Producto 0015;169;2783;Vendedor 004;Cartago;Cartago;65;37;3,833333333
3/1/2018;Producto 0014;230;3653;Vendedor 004;Puntarenas;Guanacaste;37;5;2,25
3/1/2018;Producto 0011;115;2935;Vendedor 002;Guanacaste;San José;24;6;4,55
3/1/2018;Producto 0016;80;1631;Vendedor 003;Cartago;Puntarenas;64;25;2,733333333
3/1/2018;Producto 0005;73;1043;Vendedor 002;Puntarenas;Guanacaste;31;6;0,35
3/1/2018;Producto 0001;117;3702;Vendedor 002;Heredia;San José;64;27;5,25
3/1/2018;Producto 0006;91;1514;Vendedor 004;Puntarenas;Guanacaste;52;20;0,733333333
3/1/2018;Producto 0002;138;2468;Vendedor 001;Limón;Guanacaste;36;10;4,233333333
3/1/2018;Producto 0016;150;1631;Vendedor 001;Heredia;Limón;33;8;4,716666667
3/1/2018;Producto 0013;109;3066;Vendedor 004;Cartago;Guanacaste;37;17;5,366666667
3/1/2018;Producto 0020;41;1201;Vendedor 002;Guanacaste;Heredia;72;35;5,233333333
3/1/2018;Producto 0011;102;2935;Vendedor 005;San José;San José;52;30;3,066666667
3/1/2018;Producto 0004;164;1309;Vendedor 005;Cartago;Guanacaste;74;38;3,016666667
3/1/2018;Producto 0017;13;1335;Vendedor 001;Cartago;Heredia;55;35;2,45
3/1/2018;Producto 0016;149;1631;Vendedor 005;Alajuela;Puntarenas;28;1;2,416666667
3/1/2018;Producto 0014;153;3653;Vendedor 004;Alajuela;Puntarenas;54;20;0,75
3/1/2018;Producto 0004;111;1309;Vendedor 002;Cartago;Cartago;45;7;3,75
4/1/2018;Producto 0009;40;2885;Vendedor 001;Cartago;San José;61;36;5,066666667
4/1/2018;Producto 0010;6;1088;Vendedor 003;Cartago;San José;62;25;1,833333333
4/1/2018;Producto 0005;220;1043;Vendedor 003;Alajuela;San José;58;27;0,933333333
4/1/2018;Producto 0004;235;;Vendedor 004;Heredia;Alajuela;65;29;6,683333333
4/1/2018;Producto 0013;44;;Vendedor 003;Cartago;Cartago;48;16;5,5
4/1/2018;Producto 0016;16;;Vendedor 005;Heredia;Cartago;64;37;5,7
4/1/2018;Producto 0013;120;;Vendedor 004;Cartago;Cartago;62;29;6,333333333
4/1/2018;Producto 0017;199;;Vendedor 002;San José;Guanacaste;46;19;4,8
4/1/2018;Producto 0013;182;;Vendedor 001;Heredia;Alajuela;52;13;5,433333333
4/1/2018;Producto 0002;179;;Vendedor 005;Guanacaste;Alajuela;46;14;1,466666667
4/1/2018;Producto 0014;227;;Vendedor 001;Alajuela;Alajuela;53;23;0,766666667
4/1/2018;Producto 0014;136;;Vendedor 004;Puntarenas;Guanacaste;36;4;4,6
4/1/2018;Producto 0020;203;;Vendedor 002;Heredia;Limón;54;29;5,466666667
4/1/2018;Producto 0013;43;;Vendedor 002;Heredia;Alajuela;31;11;3,633333333
4/1/2018;Producto 0008;133;;Vendedor 001;Guanacaste;San José;50;14;5,066666667
4/1/2018;Producto 0006;69;;Vendedor 001;Alajuela;San José;62;37;5,316666667
4/1/2018;Producto 0011;22;;Vendedor 001;Alajuela;Limón;50;32;1,75
4/1/2018;Producto 0010;67;;Vendedor 004;Puntarenas;Guanacaste;45;26;1,383333333
4/1/2018;Producto 0012;212;;Vendedor 005;Cartago;Cartago;34;11;0,266666667
4/1/2018;Producto 0015;182;;Vendedor 003;Alajuela;Limón;42;16;3,516666667
4/1/2018;Producto 0011;205;;Vendedor 002;Cartago;San José;48;27;3,2
4/1/2018;Producto 0018;136;;Vendedor 005;Heredia;Limón;49;8;0,55
4/1/2018;Producto 0017;65;;Vendedor 003;Heredia;Limón;44;5;1,233333333
4/1/2018;Producto 0004;115;;Vendedor 004;San José;Cartago;38;4;2,5
4/1/2018;Producto 0017;10;;Vendedor 004;San José;Guanacaste;54;30;0,433333333
4/1/2018;Producto 0017;15;;Vendedor 005;Heredia;Heredia;55;23;2,833333333
4/1/2018;Producto 0012;160;;Vendedor 004;Guanacaste;Heredia;60;36;2,766666667
4/1/2018;Producto 0018;68;3109;Vendedor 005;Alajuela;San José;32;10;1,05
4/1/2018;Producto 0015;9;2783;Vendedor 004;San José;San José;50;10;0,933333333
4/1/2018;Producto 0009;217;2885;Vendedor 005;Limón;Cartago;35;17;1,316666667
4/1/2018;Producto 0006;208;1514;Vendedor 004;Cartago;Limón;36;17;1,733333333
4/1/2018;Producto 0003;133;1688;Vendedor 004;Heredia;Alajuela;59;32;1,083333333
4/1/2018;Producto 0001;237;3702;Vendedor 002;Cartago;Heredia;35;16;1,416666667
4/1/2018;Producto 0011;65;2935;Vendedor 001;Heredia;San José;58;38;5,016666667
4/1/2018;Producto 0019;235;3504;Vendedor 005;Heredia;Cartago;40;10;3,616666667
4/1/2018;Producto 0003;119;1688;Vendedor 003;Guanacaste;Alajuela;58;21;1,583333333
4/1/2018;Producto 0006;188;1514;Vendedor 004;Cartago;Guanacaste;48;10;3,666666667
4/1/2018;Producto 0013;97;3066;Vendedor 003;Limón;Heredia;49;19;3,033333333
4/1/2018;Producto 0017;182;1335;Vendedor 001;Alajuela;Limón;64;36;2,483333333
4/1/2018;Producto 0001;63;3702;Vendedor 001;Heredia;Guanacaste;71;34;5,05
4/1/2018;Producto 0017;45;1335;Vendedor 003;Puntarenas;San José;37;12;1,333333333
4/1/2018;Producto 0003;150;1688;Vendedor 004;Puntarenas;Heredia;30;3;2,95
4/1/2018;Producto 0004;14;1309;Vendedor 001;San José;Guanacaste;60;31;2,616666667
4/1/2018;Producto 0018;66;3109;Vendedor 003;Puntarenas;Cartago;51;18;3,533333333
4/1/2018;Producto 0018;184;3109;Vendedor 003;Cartago;Puntarenas;44;17;1,166666667
4/1/2018;Producto 0010;21;1088;Vendedor 004;Puntarenas;San José;55;18;2,716666667
4/1/2018;Producto 0009;12;2885;Vendedor 005;Guanacaste;Guanacaste;40;18;5,35
4/1/2018;Producto 0010;74;1088;Vendedor 001;Cartago;San José;58;36;4,366666667
4/1/2018;Producto 0016;143;1631;Vendedor 001;Limón;Puntarenas;35;15;6,716666667
4/1/2018;Producto 0016;238;1631;Vendedor 002;San José;Limón;36;14;3,4
4/1/2018;Producto 0009;195;2885;Vendedor 001;Alajuela;Cartago;76;36;3,616666667
4/1/2018;Producto 0007;143;4311;Vendedor 003;Heredia;Heredia;24;5;3,066666667
4/1/2018;Producto 0002;203;2468;Vendedor 002;Puntarenas;Guanacaste;37;4;4,433333333
4/1/2018;Producto 0006;33;1514;Vendedor 003;Limón;San José;54;32;3,516666667
4/1/2018;Producto 0014;170;3653;Vendedor 003;Limón;Guanacaste;52;34;2,916666667
4/1/2018;Producto 0001;167;3702;Vendedor 005;Limón;Limón;56;21;1,25
4/1/2018;Producto 0011;60;2935;Vendedor 001;Puntarenas;Guanacaste;59;26;2,616666667
4/1/2018;Producto 0010;12;1088;Vendedor 001;Alajuela;Guanacaste;54;22;3,583333333
4/1/2018;Producto 0013;47;3066;Vendedor 002;Guanacaste;Guanacaste;61;20;0,633333333
4/1/2018;Producto 0004;139;1309;Vendedor 002;Heredia;Guanacaste;28;3;5,083333333
4/1/2018;Producto 0005;130;1043;Vendedor 003;Guanacaste;San José;48;10;1,683333333
5/1/2018;Producto 0004;13;1309;Vendedor 003;Limón;Cartago;37;7;4,4
5/1/2018;Producto 0006;25;1514;Vendedor 004;Guanacaste;Guanacaste;38;14;1,533333333
5/1/2018;Producto 0019;54;3504;Vendedor 001;Guanacaste;Cartago;67;29;6
5/1/2018;Producto 0006;224;1514;Vendedor 003;Heredia;Limón;33;4;2,883333333
5/1/2018;Producto 0003;94;1688;Vendedor 002;Limón;San José;73;33;3,7
5/1/2018;Producto 0003;75;1688;Vendedor 003;Puntarenas;Limón;30;4;2,616666667
5/1/2018;Producto 0008;80;1031;Vendedor 001;San José;Heredia;42;9;0,933333333
5/1/2018;Producto 0013;208;3066;Vendedor 005;Cartago;Alajuela;57;35;4,283333333
5/1/2018;Producto 0003;79;1688;Vendedor 001;San José;Cartago;28;6;3,583333333
5/1/2018;Producto 0020;100;1201;Vendedor 003;Heredia;Heredia;32;5;4,95
5/1/2018;Producto 0002;33;2468;Vendedor 005;Heredia;Guanacaste;44;11;6,716666667
5/1/2018;Producto 0012;129;4594;Vendedor 001;San José;Limón;69;28;0,866666667
5/1/2018;Producto 0007;176;4311;Vendedor 003;Guanacaste;Limón;27;2;1,1
5/1/2018;Producto 0009;234;2885;Vendedor 004;Cartago;San José;73;33;5,4
5/1/2018;Producto 0020;193;1201;Vendedor 005;Limón;Heredia;64;24;5,816666667
5/1/2018;Producto 0005;207;1043;Vendedor 004;Puntarenas;San José;55;23;3,433333333
5/1/2018;Producto 0019;159;3504;Vendedor 005;Guanacaste;San José;53;12;4,483333333
5/1/2018;Producto 0004;196;1309;Vendedor 002;Guanacaste;Guanacaste;58;36;1,983333333
5/1/2018;Producto 0018;12;3109;Vendedor 004;Limón;Alajuela;33;2;1,4
